GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Festival_Cine,es.deusto.server.dao,DBManager,688,0,64,0,183,0,47,0,15,0
Festival_Cine,es.deusto.client,FestivalCineController,415,0,6,0,78,0,20,0,17,0
Festival_Cine,es.deusto.client.gui,InformePelicula,780,0,2,0,141,0,5,0,4,0
Festival_Cine,es.deusto.client.gui,CreacionPelicula,715,0,2,0,134,0,5,0,4,0
Festival_Cine,es.deusto.client.gui,Login,267,0,6,0,57,0,6,0,3,0
Festival_Cine,es.deusto.client.gui,Alta,216,0,0,0,42,0,1,0,1,0
Festival_Cine,es.deusto.client.gui,ProgressBar,126,0,0,0,30,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,VerComentariosPelicula.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,InformePeliculaAnonimo.new ActionListener() {...},17,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,VerComentariosPelicula.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,InformePeliculaAnonimo.new ActionListener() {...},57,0,4,0,12,0,4,0,2,0
Festival_Cine,es.deusto.client.gui,CreacionPelicula.new ActionListener() {...},123,0,4,0,23,0,4,0,2,0
Festival_Cine,es.deusto.client.gui,CreacionPelicula.new ActionListener() {...},141,0,8,0,26,0,6,0,2,0
Festival_Cine,es.deusto.client.gui,ResultadoFiltrados,265,0,2,0,55,0,5,0,4,0
Festival_Cine,es.deusto.client.gui,CreacionActor,386,0,2,0,73,0,4,0,3,0
Festival_Cine,es.deusto.client.gui,Alta.new ActionListener() {...},17,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,Alta.new ActionListener() {...},44,0,0,0,7,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,Menu,888,0,14,0,153,0,11,0,4,0
Festival_Cine,es.deusto.client.gui,ComentarPeliculaTest,283,0,2,0,50,0,4,0,3,0
Festival_Cine,es.deusto.client.gui,CreacionActor.new FocusListener() {...},19,0,2,0,5,0,4,0,3,0
Festival_Cine,es.deusto.client.gui,CreacionActor.new FocusListener() {...},21,0,0,0,7,0,3,0,3,0
Festival_Cine,es.deusto.client.gui,CreacionActor.new ActionListener() {...},22,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,CreacionActor.new ActionListener() {...},51,0,0,0,12,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,InformePeliculaAnonimo,715,0,2,0,132,0,5,0,4,0
Festival_Cine,es.deusto.client.gui,InformePelicula.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,ProgressBar.MiRunnable,125,0,14,0,21,0,9,0,2,0
Festival_Cine,es.deusto.client.gui,CreacionPelicula.new ActionListener() {...},22,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,InformePelicula.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,CreacionPelicula.new FocusListener() {...},19,0,2,0,5,0,4,0,3,0
Festival_Cine,es.deusto.client.gui,Login.new ActionListener() {...},17,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,Login.new ActionListener() {...},72,0,2,0,12,0,3,0,2,0
Festival_Cine,es.deusto.client.gui,CreacionPelicula.new FocusListener() {...},19,0,2,0,5,0,4,0,3,0
Festival_Cine,es.deusto.client.gui,CreacionActor.new FocusListener() {...},19,0,2,0,5,0,4,0,3,0
Festival_Cine,es.deusto.client.gui,CreacionActor.new FocusListener() {...},19,0,2,0,5,0,4,0,3,0
Festival_Cine,es.deusto.client.gui,MenuAnonimo.new ActionListener() {...},26,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,Menu.new ActionListener() {...},22,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,Menu.new ActionListener() {...},181,0,22,0,32,0,13,0,2,0
Festival_Cine,es.deusto.client.gui,MenuAnonimo.new ActionListener() {...},26,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,MenuAnonimo.new ActionListener() {...},192,0,22,0,35,0,13,0,2,0
Festival_Cine,es.deusto.client.gui,Menu.new ActionListener() {...},361,0,28,0,67,0,16,0,2,0
Festival_Cine,es.deusto.client.gui,Menu.new ActionListener() {...},31,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,MenuAnonimo.new ActionListener() {...},361,0,28,0,67,0,16,0,2,0
Festival_Cine,es.deusto.client.gui,MenuAnonimo.new ActionListener() {...},17,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,Menu.new ActionListener() {...},31,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,Menu.new ActionListener() {...},31,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,MenuAnonimo.new ActionListener() {...},26,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,Menu.new ActionListener() {...},31,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,Menu.new ActionListener() {...},17,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,MenuAnonimo.new ActionListener() {...},26,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,CreacionPelicula.new FocusListener() {...},19,0,2,0,5,0,4,0,3,0
Festival_Cine,es.deusto.client.gui,Inicio,135,0,0,0,27,0,1,0,1,0
Festival_Cine,es.deusto.client.gui,CreacionPelicula.new FocusListener() {...},19,0,2,0,5,0,4,0,3,0
Festival_Cine,es.deusto.client.gui,CreacionPelicula.new FocusListener() {...},21,0,0,0,7,0,3,0,3,0
Festival_Cine,es.deusto.client.gui,InformePelicula.new ActionListener() {...},57,0,4,0,12,0,4,0,2,0
Festival_Cine,es.deusto.client.gui,CreacionPelicula.new FocusListener() {...},21,0,0,0,7,0,3,0,3,0
Festival_Cine,es.deusto.client.gui,InformePelicula.new ActionListener() {...},22,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,CreacionPelicula.new FocusListener() {...},19,0,2,0,5,0,4,0,3,0
Festival_Cine,es.deusto.client.gui,VerComentariosPelicula,503,0,10,0,85,0,7,0,2,0
Festival_Cine,es.deusto.client.gui,CreacionPelicula.new FocusListener() {...},19,0,2,0,5,0,4,0,3,0
Festival_Cine,es.deusto.client.gui,Menu.new ActionListener() {...},22,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,ComentarPeliculaTest.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,MenuAnonimo,742,0,12,0,129,0,10,0,4,0
Festival_Cine,es.deusto.client.gui,Inicio.new ActionListener() {...},17,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,Inicio.new ActionListener() {...},17,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,Inicio.new ActionListener() {...},17,0,0,0,5,0,2,0,2,0
Festival_Cine,es.deusto.client.gui,ComentarPeliculaTest.new ActionListener() {...},49,0,0,0,11,0,2,0,2,0
Festival_Cine,es.deusto.client.remote,ServiceLocator,1132,0,114,0,215,0,72,0,15,0
Festival_Cine,es.deusto.server.data,PeliculaList,26,0,0,0,8,0,4,0,4,0
Festival_Cine,es.deusto.server.data,UsuarioDTO,750,176,131,11,3,21,107,18,34,17
Festival_Cine,es.deusto.server.data,ValoracionDTO,749,120,132,6,6,16,109,14,37,14
Festival_Cine,es.deusto.server.data,DirectedMessage,11,19,0,0,5,6,3,3,3,3
Festival_Cine,es.deusto.server.data,MessageList,26,0,0,0,8,0,4,0,4,0
Festival_Cine,es.deusto.server.data,Message,511,100,88,4,2,10,84,13,35,13
Festival_Cine,es.deusto.server.data,UserList,26,0,0,0,8,0,4,0,4,0
Festival_Cine,es.deusto.server.data,ComentarioList,26,0,0,0,8,0,4,0,4,0
Festival_Cine,es.deusto.server.data,ActorList,26,0,0,0,8,0,4,0,4,0
Festival_Cine,es.deusto.server.data,ValoracionList,26,0,0,0,8,0,4,0,4,0
Festival_Cine,es.deusto.server.data,ComentarioDTO,971,116,164,10,18,11,137,15,44,15
Festival_Cine,es.deusto.server.data,ActorDTO,860,103,149,8,10,10,123,15,40,15
Festival_Cine,es.deusto.server.data,PeliculaDTO,1968,300,329,26,67,35,259,34,62,34
Festival_Cine,es.deusto.server,FestivalCineManager,900,182,33,3,188,32,29,5,12,4
